"decimalLongitude","decimalLatitude"
76.487976,12.248843
76.65805,11.994072
76.625946,12.208428
76.429405,11.132482
76.40319,11.63539
76.78662,11.092517
77.18033,9.576376
79.82108,11.873241
77.56425,12.769342
77.57242,13.010238
76.13609,10.530121
76.7593,10.11786
76.38125,12.32625
76.05,11.766666
76.88876,10.348219
76.76909,12.265737
76.38924,11.234415
77.30744,9.439421
76.5366,12.1408
76.48506,12.352605
76.47195,11.31429
76.05153,11.866595
76.671135,12.284573
76.834915,10.5121
76.91599,10.3506
77.37484,12.282057
77.592606,12.974185
76.93225,10.347278
76.53261,11.556289
76.62378,10.986231
79.06886,10.730167
77.034966,10.120899
77.42011,13.139953
76.64496,10.94549
77.204834,10.308005
77.06239,9.130911
76.61302,8.934963
77.58642,13.046369
76.649925,11.528246
76.438065,10.159336
76.38936,9.441027
77.10291,9.102775
76.20946,10.263911
77.33505,9.573285
76.63096,10.314588
77.13031,9.45408
76.8,10.616667
76.56634,12.258301
76.44051,10.365533
76.69152,10.445864
77.44546,13.214606
76.70462,10.221479
77.56648,8.483784
76.57107,12.259343
77.336945,12.884829
76.67264,10.116499
77.50561,12.797405
77.386116,9.527946
76.05475,12.243615
77.5339,8.251635
76.65703,12.424956
80.145546,12.684701
77.255585,9.524384
76.96862,10.342972
77.65229,11.251438
76.28768,10.036119
76.22126,11.416764
76.65444,10.379512
76.149895,11.751104
77.29354,12.912314
76.82452,10.295881
76.08908,11.947304
76.8361,10.470456
77.21181,9.988675
77.00641,10.352105
76.62586,10.976076
76.973564,10.106146
77.010765,10.083877
76.93759,10.58036
76.62032,10.348837
76.44871,11.195242
77.024826,10.325229
76.68193,11.388453
76.67826,11.546467
77.683174,13.36996
76.67818,12.275054
77.022285,10.329144
76.42463,11.091029
76.237,11.944899
78.43663,13.642734
77.521416,8.655139
76.00763,10.572015
77.55437,8.52555
77.00077,11.353984
77.38638,13.018022
77.276436,9.4825
76.00262,10.684937
77.52363,12.880631
76.336784,10.632265
76.703636,10.198078
76.472374,9.415887
78.54387,13.451751
76.389786,11.433885
77.6125,12.7725
76.74104,10.453461
76.799194,10.524518
78.3,12.7
76.17233,10.479203
77.17575,9.59694
77.2,8.5444
76.89161,10.299851
76.68706,10.129849
76.373985,12.231404
76.60097,11.575484
76.81362,10.356602
76.665085,10.495745
78.25104,10.149171
76.56721,11.481678
76.590324,12.278775
77.04242,10.145076
76.91022,12.28843
77.21427,8.547326
76.64611,12.30353
79.8649,12.574502
76.46695,10.501399
76.44796,9.584152
77.2023,9.10074
76.36994,11.66944
